,simulated model,fit model,BIC,simulation
0,Random,Random,2289.2,0
0,Random,CK,3010.8,0
0,Random,RW,3017.4,0
0,Random,RWCK,4448.8,0
0,Random,Random,1939.2,1
0,Random,CK,2750.8,1
0,Random,RW,2725.4,1
0,Random,RWCK,4157.2,1
0,Random,Random,1017.6,2
0,Random,CK,1991.0,2
0,Random,RW,1752.4,2
0,Random,RWCK,3190.4,2
0,Random,Random,1748.6,3
0,Random,CK,2589.0,3
0,Random,RW,2553.4,3
0,Random,RWCK,3969.6,3
0,Random,Random,2196.0,4
0,Random,CK,2958.4,4
0,Random,RW,2940.8,4
0,Random,RWCK,4377.2,4
0,CK,Random,2296.4,0
0,CK,CK,2791.2,0
0,CK,RW,2999.4,0
0,CK,RWCK,4229.2,0
0,CK,Random,2298.2,1
0,CK,CK,2666.0,1
0,CK,RW,3011.6,1
0,CK,RWCK,4104.0,1
0,CK,Random,2298.2,2
0,CK,CK,2720.2,2
0,CK,RW,2930.6,2
0,CK,RWCK,4157.4,2
0,CK,Random,2298.6,3
0,CK,CK,3015.8,3
0,CK,RW,3013.2,3
0,CK,RWCK,4451.2,3
0,CK,Random,2296.0,4
0,CK,CK,2884.2,4
0,CK,RW,3010.2,4
0,CK,RWCK,4322.0,4
0,RW,Random,2276.8,0
0,RW,CK,1806.6,0
0,RW,RW,1468.8,0
0,RW,RWCK,2906.8,0
0,RW,Random,2174.4,1
0,RW,CK,1806.6,1
0,RW,RW,1468.8,1
0,RW,RWCK,2906.8,1
0,RW,Random,2297.8,2
0,RW,CK,1806.6,2
0,RW,RW,1468.8,2
0,RW,RWCK,2906.8,2
0,RW,Random,2282.2,3
0,RW,CK,2957.6,3
0,RW,RW,2933.6,3
0,RW,RWCK,4368.8,3
0,RW,Random,2178.4,4
0,RW,CK,1806.6,4
0,RW,RW,1468.8,4
0,RW,RWCK,2906.8,4
0,RWCK,Random,2298.4,0
0,RWCK,CK,2623.0,0
0,RWCK,RW,2699.0,0
0,RWCK,RWCK,4024.2,0
0,RWCK,Random,2257.2,1
0,RWCK,CK,1806.6,1
0,RWCK,RW,1468.8,1
0,RWCK,RWCK,2906.8,1
0,RWCK,Random,1630.4,2
0,RWCK,CK,2102.8,2
0,RWCK,RW,1906.2,2
0,RWCK,RWCK,3323.2,2
0,RWCK,Random,2277.6,3
0,RWCK,CK,2956.4,3
0,RWCK,RW,2967.0,3
0,RWCK,RWCK,4383.0,3
0,RWCK,Random,2284.0,4
0,RWCK,CK,2367.6,4
0,RWCK,RW,2266.4,4
0,RWCK,RWCK,3686.8,4
