,model,simulated parameters,fit parameters,simulation,A_RW,A_RW_r,B_RW,B_RW_r
0,RW,"{'A_RW': 0.12, 'B_RW': 0.41}","{'A_RW': 0.1, 'B_RW': 0.4}",0,0.12,0.1,0.41,0.4
0,RW,"{'A_RW': 0.37, 'B_RW': 0.15}","{'A_RW': 0.4, 'B_RW': 0.1}",1,0.37,0.4,0.15,0.1
0,RW,"{'A_RW': 0.65, 'B_RW': 1.59}","{'A_RW': 1.0, 'B_RW': 2.0}",2,0.65,1.0,1.59,2.0
0,RW,"{'A_RW': 0.98, 'B_RW': 0.65}","{'A_RW': 1.0, 'B_RW': 0.8}",3,0.98,1.0,0.65,0.8
0,RW,"{'A_RW': 0.54, 'B_RW': 1.13}","{'A_RW': 1.0, 'B_RW': 2.0}",4,0.54,1.0,1.13,2.0
0,RW,"{'A_RW': 0.94, 'B_RW': 0.09}","{'A_RW': 0.9, 'B_RW': 0.1}",5,0.94,0.9,0.09,0.1
0,RW,"{'A_RW': 0.09, 'B_RW': 1.14}","{'A_RW': 0.1, 'B_RW': 1.4}",6,0.09,0.1,1.14,1.4
0,RW,"{'A_RW': 0.34, 'B_RW': 0.71}","{'A_RW': 0.5, 'B_RW': 0.8}",7,0.34,0.5,0.71,0.8
0,RW,"{'A_RW': 0.41, 'B_RW': 0.97}","{'A_RW': 0.4, 'B_RW': 1.0}",8,0.41,0.4,0.97,1.0
0,RW,"{'A_RW': 0.22, 'B_RW': 1.79}","{'A_RW': 0.2, 'B_RW': 2.0}",9,0.22,0.2,1.79,2.0
0,RW,"{'A_RW': 0.32, 'B_RW': 0.17}","{'A_RW': 0.2, 'B_RW': 0.2}",10,0.32,0.2,0.17,0.2
0,RW,"{'A_RW': 0.59, 'B_RW': 0.77}","{'A_RW': 0.7, 'B_RW': 1.1}",11,0.59,0.7,0.77,1.1
0,RW,"{'A_RW': 0.6, 'B_RW': 1.61}","{'A_RW': 1.0, 'B_RW': 2.0}",12,0.6,1.0,1.61,2.0
0,RW,"{'A_RW': 0.86, 'B_RW': 1.13}","{'A_RW': 1.0, 'B_RW': 1.1}",13,0.86,1.0,1.13,1.1
